DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,HU,2019,0.1120,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,HU,2020,0.1031,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,HU,2021,0.1003,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2010,0.1804,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2011,0.1901,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2012,0.2155,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2013,0.2295,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2014,0.2407,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2015,0.2426,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2016,0.2320,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2017,0.2305,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2018,0.2369,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2019,0.2423,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2020,0.2413,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IE,2021,0.2555,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IS,2012,0.1110,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IS,2013,0.1053,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IS,2014,0.1133,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IS,2015,0.1197,
ESTAT:TEN00117(1.0),20/12/22 23:00:00,A,6000,EUR,KWH,MSHH,IS,2016,0.1312,
