Date,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Ech. physiques (MW),Stockage batterie
2013-01-10,52,190082.0,66445.0,0.0,5965.0,255.0,78.0,1690.0,115531.0,0.0
2013-01-10,53,158944.0,3026.0,0.0,7696.0,148.0,3577.0,845.0,143845.0,0.0
2013-01-10,75,317331.0,12251.0,319927.0,5468.0,768.0,32810.0,6558.0,-60677.0,0.0
2013-01-10,76,287805.0,4125.0,119872.0,19063.0,1611.0,74647.0,3913.0,72775.0,0.0
2013-01-10,84,490423.0,13765.0,645376.0,4705.0,510.0,196924.0,2980.0,-356557.0,0.0
2013-01-10,93,284001.0,55027.0,0.0,473.0,2850.0,76011.0,2981.0,146550.0,0.0
2013-01-11,11,516679.0,52510.0,0.0,110.0,97.0,0.0,6564.0,457286.0,0.0
2013-01-11,24,135151.0,4591.0,505065.0,7464.0,457.0,1546.0,1086.0,-385143.0,0.0
2013-01-11,27,153553.0,19968.0,0.0,1224.0,194.0,6367.0,661.0,124967.0,0.0
2013-01-11,28,201029.0,17081.0,492603.0,2935.0,192.0,890.0,2625.0,-315477.0,0.0
2013-01-11,32,356768.0,49391.0,253938.0,3148.0,86.0,48.0,3677.0,46308.0,0.0
2013-01-11,44,319475.0,104644.0,465776.0,6558.0,453.0,58965.0,2912.0,-311598.0,0.0
2013-01-11,52,188757.0,42810.0,0.0,5181.0,1099.0,70.0,1717.0,137760.0,0.0
2013-01-11,53,162372.0,3073.0,0.0,5889.0,427.0,4496.0,786.0,147810.0,0.0
2013-01-11,75,308992.0,12074.0,319440.0,4634.0,3345.0,32882.0,6626.0,-70220.0,0.0
2013-01-11,76,263197.0,3704.0,120220.0,24327.0,3563.0,60633.0,4106.0,59363.0,0.0
2013-01-11,84,474810.0,13673.0,642132.0,8055.0,783.0,191745.0,3266.0,-363306.0,0.0
2013-01-11,93,280801.0,63520.0,0.0,1096.0,3016.0,67893.0,3345.0,141827.0,0.0
2013-01-12,11,491255.0,49103.0,0.0,49.0,41.0,0.0,6863.0,435109.0,0.0
2013-01-12,24,126302.0,4676.0,499507.0,4927.0,179.0,1401.0,1109.0,-385589.0,0.0
2013-01-12,27,138631.0,19644.0,0.0,856.0,231.0,5083.0,670.0,111982.0,0.0
2013-01-12,28,191409.0,26505.0,490123.0,4167.0,82.0,914.0,2668.0,-333239.0,0.0
2013-01-12,32,338496.0,50965.0,254978.0,7999.0,38.0,48.0,3664.0,20626.0,0.0
2013-01-12,44,286812.0,71645.0,470411.0,10635.0,620.0,57210.0,3006.0,-319664.0,0.0
2013-01-12,52,164443.0,28278.0,0.0,4684.0,634.0,61.0,1530.0,129147.0,0.0
2013-01-12,53,147365.0,3085.0,0.0,6935.0,404.0,4900.0,828.0,131163.0,0.0
2013-01-12,75,297770.0,12267.0,315419.0,4785.0,1045.0,18129.0,6626.0,-60721.0,0.0
2013-01-12,76,262793.0,3647.0,117420.0,1729.0,2197.0,50616.0,4049.0,101357.0,0.0
2013-01-12,84,439916.0,13275.0,638961.0,2337.0,978.0,168881.0,3720.0,-360775.0,0.0
2013-01-12,93,278107.0,30513.0,0.0,328.0,2437.0,71779.0,3400.0,169544.0,0.0
2013-01-13,11,485315.0,47508.0,0.0,44.0,25.0,0.0,6680.0,430973.0,0.0
2013-01-13,24,123684.0,4686.0,498634.0,2585.0,94.0,1428.0,1134.0,-384962.0,0.0
2013-01-13,27,130247.0,12689.0,0.0,175.0,118.0,4183.0,667.0,112261.0,0.0
2013-01-13,28,191899.0,25789.0,475434.0,2294.0,54.0,904.0,2610.0,-315357.0,0.0
2013-01-13,32,331254.0,50284.0,254265.0,7282.0,34.0,48.0,3654.0,15513.0,0.0
2013-01-13,44,277442.0,52140.0,471206.0,7431.0,451.0,52625.0,2997.0,-300520.0,0.0
2013-01-13,52,170880.0,41988.0,0.0,1985.0,529.0,53.0,1536.0,124679.0,0.0
2013-01-13,53,151692.0,3073.0,0.0,4133.0,266.0,4733.0,879.0,138564.0,0.0
2013-01-13,75,286902.0,12231.0,317136.0,1236.0,1028.0,16136.0,6788.0,-67871.0,0.0
2013-01-13,76,254331.0,3746.0,117532.0,10278.0,1138.0,40875.0,4052.0,93705.0,0.0
2013-01-13,84,418194.0,13359.0,639931.0,2104.0,528.0,137108.0,3732.0,-346223.0,0.0
2013-01-13,93,280488.0,24388.0,0.0,561.0,627.0,64794.0,3358.0,186654.0,0.0
2013-01-14,11,591397.0,51323.0,0.0,202.0,118.0,0.0,6024.0,533638.0,0.0
2013-01-14,24,152768.0,4689.0,504370.0,8343.0,253.0,1344.0,1101.0,-367414.0,0.0
2013-01-14,27,161086.0,19121.0,0.0,190.0,70.0,7270.0,676.0,133608.0,0.0
2013-01-14,28,227781.0,26972.0,490874.0,4849.0,53.0,866.0,2582.0,-298583.0,0.0
2013-01-14,32,387182.0,61629.0,254215.0,16558.0,168.0,48.0,3511.0,50870.0,0.0
2013-01-14,44,334821.0,131836.0,473253.0,8305.0,671.0,54207.0,2911.0,-332420.0,0.0
2013-01-14,52,208359.0,51984.0,0.0,3453.0,358.0,68.0,1525.0,150857.0,0.0
2013-01-14,53,170873.0,2832.0,0.0,5213.0,180.0,4983.0,877.0,156752.0,0.0
2013-01-14,75,336061.0,12460.0,321864.0,2973.0,1401.0,26533.0,6492.0,-35901.0,0.0
2013-01-14,76,293770.0,3765.0,122633.0,22051.0,1603.0,70898.0,4035.0,77924.0,0.0
2013-01-14,84,486979.0,26792.0,644711.0,3498.0,433.0,204710.0,3476.0,-378014.0,0.0
2013-01-14,93,305170.0,63596.0,0.0,1230.0,2823.0,79015.0,3119.0,155273.0,0.0
2013-01-15,11,602897.0,55879.0,0.0,362.0,19.0,0.0,5787.0,540738.0,0.0
2013-01-15,24,157438.0,4666.0,509496.0,15146.0,351.0,1451.0,1098.0,-374851.0,0.0
2013-01-15,27,170200.0,14279.0,0.0,1940.0,59.0,8739.0,659.0,144356.0,0.0
2013-01-15,28,229309.0,27262.0,490670.0,7269.0,165.0,924.0,2531.0,-299679.0,0.0
2013-01-15,32,390205.0,68464.0,256482.0,14394.0,53.0,48.0,3343.0,47233.0,0.0
2013-01-15,44,353186.0,148858.0,470088.0,25410.0,165.0,53014.0,2849.0,-340563.0,0.0
2013-01-15,52,208512.0,62089.0,0.0,5520.0,914.0,80.0,1522.0,138273.0,0.0
2013-01-15,53,172745.0,2791.0,0.0,7949.0,382.0,4808.0,848.0,155920.0,0.0
2013-01-15,75,337149.0,12457.0,319853.0,4501.0,2563.0,26194.0,6596.0,-35238.0,0.0
2013-01-15,76,302605.0,10178.0,121819.0,16021.0,2195.0,87873.0,3727.0,68623.0,0.0
2013-01-15,84,513940.0,26424.0,644711.0,2996.0,197.0,225268.0,3455.0,-376904.0,0.0
2013-01-15,93,326236.0,67285.0,0.0,407.0,1001.0,78319.0,3353.0,175771.0,0.0
2013-01-16,11,610978.0,49163.0,0.0,75.0,124.0,0.0,5671.0,555823.0,0.0
2013-01-16,24,162002.0,4684.0,510797.0,4498.0,680.0,1451.0,1061.0,-361252.0,0.0
2013-01-16,27,170134.0,10346.0,0.0,530.0,71.0,10358.0,647.0,148011.0,0.0
2013-01-16,28,233889.0,27153.0,492351.0,1665.0,318.0,960.0,2478.0,-291214.0,0.0
2013-01-16,32,397760.0,68578.0,256691.0,3132.0,165.0,48.0,3268.0,65700.0,0.0
2013-01-16,44,353195.0,162117.0,471501.0,5414.0,632.0,51851.0,2871.0,-333940.0,0.0
2013-01-16,52,220692.0,70570.0,0.0,5090.0,464.0,75.0,1550.0,142838.0,0.0
2013-01-16,53,177814.0,2909.0,0.0,6263.0,312.0,4756.0,821.0,162766.0,0.0
2013-01-16,75,339409.0,12546.0,247251.0,3667.0,516.0,29513.0,6584.0,39039.0,0.0
2013-01-16,76,307442.0,3845.0,122261.0,5687.0,494.0,84950.0,3534.0,93727.0,0.0
2013-01-16,84,511360.0,28777.0,645831.0,3356.0,464.0,241844.0,3585.0,-406252.0,0.0
2013-01-16,93,332304.0,82057.0,0.0,1189.0,1635.0,80481.0,3229.0,163616.0,0.0
2013-01-17,11,640670.0,62705.0,0.0,7.0,157.0,0.0,5174.0,572510.0,0.0
2013-01-17,24,173863.0,4726.0,510988.0,867.0,620.0,1328.0,1112.0,-345860.0,0.0
2013-01-17,27,178736.0,10427.0,0.0,404.0,56.0,10069.0,667.0,156948.0,0.0
2013-01-17,28,237531.0,31385.0,491725.0,1066.0,369.0,990.0,2580.0,-290753.0,0.0
2013-01-17,32,418085.0,83464.0,256794.0,1511.0,149.0,48.0,3016.0,72920.0,0.0
2013-01-17,44,362907.0,166093.0,470886.0,4013.0,207.0,48634.0,2931.0,-325699.0,0.0
2013-01-17,52,236784.0,69978.0,0.0,1562.0,997.0,89.0,1764.0,162284.0,0.0
2013-01-17,53,189766.0,3100.0,0.0,6757.0,381.0,4263.0,835.0,174524.0,0.0
2013-01-17,75,360354.0,12586.0,272610.0,1761.0,3277.0,34990.0,6569.0,28292.0,0.0
2013-01-17,76,321301.0,3913.0,121462.0,17431.0,2641.0,100568.0,3143.0,78616.0,0.0
2013-01-17,84,544765.0,32263.0,645599.0,4896.0,419.0,231352.0,3353.0,-368082.0,0.0
2013-01-17,93,346695.0,87840.0,0.0,1986.0,3299.0,82893.0,3077.0,167497.0,0.0
2013-01-18,11,653509.0,78732.0,0.0,197.0,49.0,27.0,5859.0,568548.0,0.0
2013-01-18,24,177443.0,4713.0,511053.0,6742.0,122.0,1388.0,1126.0,-347776.0,0.0
2013-01-18,27,176943.0,10460.0,0.0,1287.0,106.0,10092.0,646.0,154183.0,0.0
2013-01-18,28,250328.0,53045.0,493642.0,7613.0,32.0,1077.0,2563.0,-307791.0,0.0
2013-01-18,32,414872.0,82908.0,254388.0,15939.0,89.0,48.0,2991.0,58337.0,0.0
2013-01-18,44,355232.0,172272.0,470540.0,16140.0,411.0,49048.0,2962.0,-350062.0,0.0
2013-01-18,52,245060.0,75205.0,0.0,4149.0,48.0,88.0,1584.0,163871.0,0.0
2013-01-18,53,196398.0,3784.0,0.0,8787.0,65.0,3232.0,838.0,179860.0,0.0
2013-01-18,75,380390.0,12420.0,305548.0,3448.0,329.0,40590.0,6690.0,11117.0,0.0
2013-01-18,76,338528.0,3857.0,122569.0,5386.0,900.0,107128.0,3226.0,100090.0,0.0
2013-01-18,84,544157.0,32980.0,646942.0,2817.0,503.0,232739.0,3452.0,-365218.0,0.0
2013-01-18,93,347705.0,93351.0,0.0,745.0,2208.0,76566.0,2922.0,171807.0,0.0
2013-01-19,11,593948.0,52654.0,0.0,212.0,0.0,10.0,6116.0,534845.0,0.0
2013-01-19,24,157085.0,4688.0,509416.0,9410.0,109.0,1211.0,1167.0,-368992.0,0.0
2013-01-19,27,156983.0,11207.0,0.0,1999.0,142.0,8779.0,680.0,134010.0,0.0
2013-01-19,28,231874.0,74060.0,493014.0,3714.0,33.0,1096.0,2343.0,-342530.0,0.0
2013-01-19,32,376867.0,41426.0,256856.0,20129.0,40.0,48.0,3132.0,55059.0,0.0
2013-01-19,44,324049.0,133435.0,470189.0,34147.0,212.0,44649.0,2963.0,-357422.0,0.0
2013-01-19,52,218452.0,61868.0,0.0,5767.0,136.0,108.0,1704.0,148765.0,0.0
2013-01-19,53,184896.0,3046.0,0.0,5216.0,53.0,2374.0,891.0,173489.0,0.0
2013-01-19,75,328255.0,12026.0,309610.0,6451.0,423.0,31146.0,6562.0,-38163.0,0.0
2013-01-19,76,295620.0,3772.0,122140.0,20112.0,614.0,91521.0,3092.0,73657.0,0.0
2013-01-19,84,473185.0,13872.0,644502.0,5765.0,289.0,196881.0,3271.0,-381441.0,0.0
2013-01-19,93,325285.0,31729.0,0.0,1081.0,369.0,65386.0,3309.0,223303.0,0.0
2013-01-20,11,580127.0,52397.0,0.0,202.0,0.0,47.0,5965.0,521446.0,0.0
2013-01-20,24,153168.0,4690.0,508621.0,9010.0,0.0,2003.0,1114.0,-372345.0,0.0
2013-01-20,27,144704.0,17921.0,0.0,2786.0,87.0,7701.0,650.0,115383.0,0.0
2013-01-20,28,223662.0,73133.0,484914.0,2556.0,3.0,1078.0,2028.0,-340182.0,0.0
2013-01-20,32,364771.0,42400.0,221666.0,11756.0,0.0,48.0,2980.0,85729.0,0.0
2013-01-20,44,305147.0,104698.0,467550.0,10560.0,292.0,46221.0,2894.0,-319216.0,0.0
2013-01-20,52,202916.0,54264.0,0.0,3461.0,388.0,108.0,1447.0,143157.0,0.0
2013-01-20,53,170956.0,2963.0,0.0,2601.0,182.0,1727.0,830.0,162998.0,0.0
2013-01-20,75,323924.0,12201.0,319388.0,4993.0,1124.0,28802.0,6234.0,-48997.0,0.0
2013-01-20,76,274308.0,3845.0,121541.0,15852.0,1451.0,82653.0,2810.0,68106.0,0.0
2013-01-20,84,437292.0,13545.0,642977.0,6465.0,374.0,191006.0,3044.0,-396273.0,0.0
2013-01-20,93,290859.0,16433.0,0.0,913.0,624.0,58551.0,3329.0,210948.0,0.0
2013-01-21,11,618348.0,55473.0,0.0,140.0,0.0,2.0,5730.0,556895.0,0.0
2013-01-21,24,161140.0,4692.0,510033.0,9877.0,88.0,1954.0,983.0,-366559.0,0.0
2013-01-21,27,164797.0,21155.0,0.0,2702.0,82.0,10125.0,637.0,129920.0,0.0
2013-01-21,28,234033.0,67164.0,489878.0,1664.0,29.0,1094.0,1874.0,-327809.0,0.0
2013-01-21,32,383124.0,69528.0,217244.0,7428.0,0.0,48.0,2884.0,85816.0,0.0
2013-01-21,44,334460.0,145446.0,467324.0,9221.0,140.0,46541.0,2890.0,-330976.0,0.0
2013-01-21,52,224476.0,72289.0,0.0,9367.0,425.0,91.0,1362.0,140828.0,0.0
2013-01-21,53,184705.0,2916.0,0.0,8502.0,174.0,1569.0,687.0,171146.0,0.0
2013-01-21,75,346165.0,12181.0,319797.0,10720.0,2058.0,37319.0,6108.0,-42238.0,0.0
2013-01-21,76,301898.0,3884.0,121835.0,18480.0,2560.0,104801.0,2686.0,57679.0,0.0
2013-01-21,84,491124.0,25518.0,630542.0,5408.0,1065.0,222932.0,2837.0,-379099.0,0.0
2013-01-21,93,309629.0,58143.0,0.0,523.0,2619.0,57092.0,3201.0,187942.0,0.0
2013-01-22,11,618009.0,56786.0,0.0,220.0,14.0,0.0,5162.0,555725.0,0.0
2013-01-22,24,160174.0,4642.0,508854.0,8889.0,127.0,1528.0,963.0,-364900.0,0.0
2013-01-22,27,164641.0,20714.0,0.0,1606.0,255.0,10134.0,648.0,131098.0,0.0
2013-01-22,28,235851.0,64907.0,489893.0,6609.0,31.0,1048.0,2205.0,-329013.0,0.0
2013-01-22,32,399883.0,73819.0,214992.0,14547.0,27.0,48.0,2962.0,93309.0,0.0
2013-01-22,44,347998.0,141528.0,467848.0,7215.0,246.0,45207.0,2981.0,-309091.0,0.0
2013-01-22,52,221035.0,71559.0,0.0,6508.0,325.0,94.0,1483.0,140956.0,0.0
2013-01-22,53,179773.0,2968.0,0.0,3424.0,165.0,1761.0,666.0,171082.0,0.0
2013-01-22,75,355648.0,12226.0,319921.0,8339.0,758.0,38804.0,6017.0,-30677.0,0.0
2013-01-22,76,303193.0,3791.0,122218.0,5047.0,2837.0,96988.0,2819.0,80480.0,0.0
2013-01-22,84,486437.0,25790.0,633915.0,2644.0,1872.0,213818.0,2985.0,-377611.0,0.0
2013-01-22,93,306209.0,89952.0,0.0,351.0,3511.0,63075.0,3233.0,145989.0,0.0
2013-01-23,11,597098.0,55454.0,0.0,13.0,31.0,0.0,5209.0,536294.0,0.0
